,Distribución por fuente de ingresos,Periodo,Total,cod_mun,nom_mun,Total_num
97477,Fuente de ingreso: otras prestaciones,2019,"687,0",08157,Pallejà,687.0
97482,Fuente de ingreso: otros ingresos,2020,"2.294,0",08157,Pallejà,2294.0
97483,Fuente de ingreso: otros ingresos,2019,"2.469,0",08157,Pallejà,2469.0
97704,Renta bruta media por persona,2020,"18.069,0",08158,"Papiol, El",18069.0
97705,Renta bruta media por persona,2019,"18.447,0",08158,"Papiol, El",18447.0
97710,Fuente de ingreso: salario,2020,"11.852,0",08158,"Papiol, El",11852.0
97711,Fuente de ingreso: salario,2019,"12.604,0",08158,"Papiol, El",12604.0
97716,Fuente de ingreso: pensiones,2020,"2.674,0",08158,"Papiol, El",2674.0
97717,Fuente de ingreso: pensiones,2019,"2.686,0",08158,"Papiol, El",2686.0
97722,Fuente de ingreso: prestaciones por desempleo,2020,"861,0",08158,"Papiol, El",861.0
97723,Fuente de ingreso: prestaciones por desempleo,2019,"256,0",08158,"Papiol, El",256.0
97728,Fuente de ingreso: otras prestaciones,2020,"693,0",08158,"Papiol, El",693.0
97729,Fuente de ingreso: otras prestaciones,2019,"651,0",08158,"Papiol, El",651.0
97734,Fuente de ingreso: otros ingresos,2020,"1.989,0",08158,"Papiol, El",1989.0
97735,Fuente de ingreso: otros ingresos,2019,"2.251,0",08158,"Papiol, El",2251.0
103644,Renta bruta media por persona,2020,"14.902,0",08180,Ripollet,14902.0
103645,Renta bruta media por persona,2019,"14.649,0",08180,Ripollet,14649.0
103650,Fuente de ingreso: salario,2020,"9.893,0",08180,Ripollet,9893.0
103651,Fuente de ingreso: salario,2019,"10.193,0",08180,Ripollet,10193.0
103656,Fuente de ingreso: pensiones,2020,"2.448,0",08180,Ripollet,2448.0
103657,Fuente de ingreso: pensiones,2019,"2.367,0",08180,Ripollet,2367.0
103662,Fuente de ingreso: prestaciones por desempleo,2020,"842,0",08180,Ripollet,842.0
103663,Fuente de ingreso: prestaciones por desempleo,2019,"303,0",08180,Ripollet,303.0
