,cod_mun,nom_mun,Periodo,Edad media de la población,Porcentaje de hogares unipersonales,Porcentaje de población de 65 y más años,Porcentaje de población española,Porcentaje de población menor de 18 años,Tamaño medio del hogar
749,08125,Montcada i Reixac,2020,"40,6","22,2","15,3","86,3","19,9","3,00"
750,08126,Montgat,2015,"39,9","22,0","14,4","93,9","19,9","3,00"
751,08126,Montgat,2016,"40,0","21,9","14,4","93,7","20,3","3,00"
752,08126,Montgat,2017,"40,3","22,0","14,9","93,3","20,1","3,00"
753,08126,Montgat,2018,"40,5","22,3","15,4","92,1","20,3","3,00"
754,08126,Montgat,2019,"40,8","22,5","15,6","90,8","20,1","3,00"
755,08126,Montgat,2020,"41,1","22,7","15,9","90,3","19,8","3,00"
936,08157,Pallejà,2015,"39,1","18,7","13,7","94,8","22,1","3,00"
937,08157,Pallejà,2016,"39,4","19,0","13,9","94,8","22,2","3,00"
938,08157,Pallejà,2017,"39,6","18,8","14,1","94,2","22,1","3,00"
939,08157,Pallejà,2018,"40,1","19,4","14,6","94,1","21,5","3,00"
940,08157,Pallejà,2019,"40,4","19,5","14,9","93,7","21,3","3,00"
941,08157,Pallejà,2020,"40,7","19,2","15,2","93,7","20,9","3,00"
942,08158,"Papiol, El",2015,"40,2","21,6","15,5","94,9","20,1","3,00"
943,08158,"Papiol, El",2016,"40,5","21,2","16,0","94,9","20,3","3,00"
944,08158,"Papiol, El",2017,"40,6","20,6","16,1","94,2","20,1","3,00"
945,08158,"Papiol, El",2018,"40,8","21,0","16,1","93,9","20,3","3,00"
946,08158,"Papiol, El",2019,"41,1","21,4","16,1","93,0","20,0","3,00"
947,08158,"Papiol, El",2020,"41,4","21,8","16,3","92,1","19,7","3,00"
1068,08180,Ripollet,2015,"39,1","23,6","14,4","89,9","21,5","3,00"
1069,08180,Ripollet,2016,"39,4","22,6","14,6","89,8","21,6","3,00"
1070,08180,Ripollet,2017,"39,6","23,4","14,8","89,2","21,3","3,00"
1071,08180,Ripollet,2018,"39,9","22,8","15,1","88,4","21,1","3,00"
1072,08180,Ripollet,2019,"40,2","22,8","15,3","87,7","20,9","3,00"
1073,08180,Ripollet,2020,"40,5","23,0","15,5","87,7","20,6","3,00"
1104,08187,Sabadell,2015,"41,4","24,6","18,2","89,7","19,2","3,00"
1105,08187,Sabadell,2016,"41,6","24,6","18,4","89,4","19,2","3,00"
1106,08187,Sabadell,2017,"41,7","25,0","18,5","88,8","19,3","3,00"
